Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,960.00,3.52 Ar,-1.03%,-3.42%,+1.05%,-6.33%,-22.45%,-19.10%,32.57,29.48,5.65,"4,02,624.11","2,03,534.78",+97.82%,"2,19,201.45","1,11,339.65",+96.88%,"59,784.03","8,206.54",+628.49%,32.57,8.94,+264.24%,169.98,157.43,+7.97%,"65,11,837.26","63,28,553.46",+2.90%,"58,87,759.35","57,50,551.33",+2.39%,"3,67,143.41","3,67,143.41",0.00%,"2,56,934.51","2,10,858.72",+21.85%
ADBL,Agriculture Development Bank,Commercial Banks,302.60,41.93 Ar,+1.54%,+3.28%,+1.51%,-0.42%,+4.11%,-3.17%,7.61,39.75,1.35,"1,04,60,525.85","54,95,815.26",+90.34%,"45,18,161.97","24,24,395.43",+86.36%,"7,07,426.59","5,738.89","+12,226.90%",7.61,-2.19,-448.04%,224.37,239.52,-6.33%,"39,21,57,175.80","37,73,07,473.60",+3.94%,"35,46,27,268.60","33,86,88,199.20",+4.71%,"1,97,38,231.09","1,92,87,936.30",+2.33%,"1,77,91,676.11","1,93,31,338.12",-7.96%
ADBLD83,10.35% Agricultural Bank Debenture 2083,Bond,"1,069.00",0.00,+1.42%,+1.71%,+1.74%,-1.94%,-2.82%,+1.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHL,Asian Hydropower Limited,Hydro Power,499.80,1.70 Ar,+1.38%,-2.00%,-12.74%,-16.70%,-36.33%,+52.10%,-17.00,-29.39,6.46,"51,964.86","51,964.86",0.00%,"34,893.39","45,331.81",-23.03%,"-28,907.89","14,721.88",-296.36%,-17.00,17.32,-198.18%,77.34,90.26,-14.31%,"12,62,778.81","13,07,582.69",-3.43%,"9,99,829.81","10,00,707.54",-0.09%,"3,40,000.00","3,40,000.00",0.00%,"-77,051.01","-33,124.85",+132.61%
AHPC,Arun Valley Hydropower Development,Hydro Power,279.00,10.74 Ar,-0.36%,+2.61%,+3.26%,+3.25%,+1.82%,+93.23%,5.20,53.65,2.41,"1,73,056.57","87,502.71",+97.77%,"1,52,084.27","76,673.00",+98.35%,"1,00,063.38","45,323.28",+120.78%,5.20,4.71,+10.39%,115.64,113.05,+2.29%,"48,35,832.50","47,41,439.13",+1.99%,"3,85,839.18","3,91,146.18",-1.36%,"38,48,003.00","38,48,003.00",0.00%,"6,01,990.33","5,02,289.95",+19.85%
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,361.50,7.23 Ar,+2.70%,+5.67%,+10.75%,+90.26%,+61.24%,+205.32%,4.63,78.13,3.89,"1,34,444.02","73,026.50",+84.10%,"1,13,009.61","60,968.97",+85.36%,"46,271.04","28,913.71",+60.03%,4.63,5.78,-19.98%,92.82,91.95,+0.94%,"25,87,262.89","26,15,088.29",-1.06%,"7,30,855.78","7,76,038.50",-5.82%,"20,00,000.00","20,00,000.00",0.00%,"-1,43,592.89","-1,60,950.21",-10.78%
AKPL,Arun Kabeli Power Ltd.,Hydro Power,267.50,10.42 Ar,+1.40%,+4.17%,+0.26%,+9.18%,+4.33%,+55.10%,7.93,33.73,2.58,"3,83,510.18","1,94,287.27",+97.39%,"3,54,894.34","1,82,040.45",+94.95%,"1,54,487.61","58,006.07",+166.33%,7.93,5.96,+33.17%,103.69,101.21,+2.45%,"73,93,174.62","64,37,912.54",+14.84%,"33,53,462.19","24,94,681.65",+34.42%,"38,95,942.10","38,95,942.10",0.00%,"1,43,770.33","47,288.80",+204.03%
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,095.00",8.03 Ar,-0.41%,+3.29%,-2.84%,+3.85%,+30.65%,+34.58%,31.29,35.00,6.93,"7,17,454.27","3,45,551.08",+107.63%,"3,87,458.89","1,73,802.54",+122.93%,"1,25,574.09","22,322.11",+462.55%,31.29,12.18,+156.87%,158.08,175.91,-10.14%,"1,17,42,710.76","1,11,68,127.09",+5.14%,"1,04,73,861.81","98,78,640.58",+6.03%,"8,02,685.68","7,33,046.28",+9.50%,"4,66,163.28","5,56,440.23",-16.22%
ALICL,Asian Life Insurance,Life Insurance,448.00,22.41 Ar,+1.13%,+2.52%,+0.64%,-0.72%,-17.35%,-15.32%,10.54,42.50,3.78,"65,37,551.00","32,37,067.54",+101.96%,"8,75,913.56","5,24,011.03",+67.16%,"2,63,563.46","1,52,513.04",+72.81%,10.54,12.64,-16.59%,128.73,130.12,-1.07%,"5,91,27,423.13","5,74,60,842.10",+2.90%,"5,26,89,268.12","5,11,78,897.36",+2.95%,"50,01,159.21","48,27,767.56",+3.59%,"9,19,096.03","9,41,421.71",-2.37%
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,350.00",4.97 Ar,-0.08%,+1.60%,+5.80%,+0.97%,+33.74%,+1731.80%,77.90,81.52,14.81,"1,09,231.14","54,844.45",+99.17%,"71,846.97","35,706.53",+101.22%,"30,514.63","11,464.43",+166.17%,77.90,58.53,+33.08%,428.75,405.31,+5.78%,"19,02,697.33","18,30,448.24",+3.95%,"15,66,800.96","15,12,914.23",+3.56%,"78,343.28","78,343.28",0.00%,"2,57,553.08","2,39,190.72",+7.68%
API,Api Power,Hydro Power,316.00,19.20 Ar,+1.16%,+8.59%,+6.40%,+14.91%,+8.71%,+121.97%,14.03,22.52,2.69,"9,59,243.24","5,38,459.21",+78.15%,"8,40,391.87","4,79,201.77",+75.37%,"4,26,221.66","2,62,755.15",+62.21%,14.03,17.30,-18.89%,117.58,114.74,+2.48%,"1,44,85,098.82","1,45,01,043.26",-0.11%,"73,40,803.63","75,29,330.42",-2.50%,"60,75,927.81","60,75,927.81",0.00%,"10,68,367.39","8,95,785.04",+19.27%
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,975.00,2.44 Ar,+0.48%,+3.07%,+1.56%,-1.52%,-19.55%,+180.49%,61.89,15.75,6.53,"2,66,507.46","1,08,755.91",+145.05%,"1,56,871.86","50,952.59",+207.88%,"77,360.06","8,111.46",+853.71%,61.89,12.98,+376.86%,149.39,126.15,+18.42%,"36,32,445.01","37,25,565.79",-2.50%,"32,58,967.45","34,10,179.44",-4.43%,"2,50,000.00","2,50,000.00",0.00%,"1,23,477.56","65,386.35",+88.84%
BANDIPUR,Bandipur Cablecar and Tourism Limited,Hotels,940.00,26.60 Ar,+0.22%,+5.98%,-9.35%,+19.14%,+199.84%,+199.84%,-1.80,-523.02,10.17,"44,216.88","18,154.34",+143.56%,"14,056.79","2,070.95",+578.76%,"-25,431.28","-17,939.29",+41.76%,-1.80,-2.54,-29.12%,92.47,92.74,-0.29%,"39,21,311.34","41,13,331.10",-4.67%,"13,04,361.87","14,88,889.64",-12.39%,"28,29,993.00","28,29,993.00",0.00%,"-2,13,043.53","-2,05,551.54",+3.64%
BARUN,Barun Hydropower,Hydro Power,346.80,3.72 Ar,+0.52%,+3.21%,-4.99%,+2.91%,+23.02%,+171.29%,4.05,85.65,3.06,"62,624.05","39,473.75",+58.65%,"54,218.74","33,306.25",+62.79%,"21,696.03","18,990.58",+14.25%,4.05,7.25,-44.15%,113.42,109.04,+4.02%,"15,03,640.60","14,40,609.40",+4.38%,"2,88,163.95","2,98,072.51",-3.32%,"10,71,630.00","10,47,786.70",+2.28%,"1,43,846.65","94,750.19",+51.82%
BBC,Bishal Bazar,Trading,"4,668.00",187.19 Ar,+1.04%,+1.48%,-4.32%,-4.73%,-17.06%,+47.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
