Symbol,Date,Signal,Close
GBBD85,2025-08-20,Buy,1052.33
SANVI,2025-08-20,Buy,722.74
NABILD87,2025-08-20,Sell,1055.0
HATHY,2025-08-20,Buy,1247.09
NYADI,2025-08-20,Buy,437.87
CKHL,2025-08-20,Sell,667.29
SPC,2025-08-20,Sell,534.49
CIZBD90,2025-08-20,Sell,1146.6
RBBD83,2025-08-20,Buy,1065.0
CGH,2025-08-20,Buy,1054.3
MEHL,2025-08-20,Sell,451.62
RURU,2025-08-20,Sell,742.18
NBLD82,2025-08-20,Buy,1089.0
MBLEF,2025-08-20,Buy,9.31
SAND2085,2025-08-20,Sell,1100.0
LSL,2025-08-20,Buy,236.7
KPCL,2025-08-20,Sell,598.83
AHPC,2025-08-20,Sell,296.1
ALBSL,2025-08-20,Sell,984.55
SHL,2025-08-20,Buy,571.9
BNHC,2025-08-20,Sell,527.92
SBLD84,2025-08-20,Buy,1077.0
UMHL,2025-08-20,Sell,570.79
PURE,2025-08-19,Buy,925.61
SBID89,2025-08-19,Sell,1070.3
BHPL,2025-08-19,Buy,810.37
RURU,2025-08-19,Buy,754.55
DHPL,2025-08-19,Buy,319.85
BNHC,2025-08-19,Buy,532.58
SMH,2025-08-19,Buy,878.45
AHPC,2025-08-19,Buy,300.16
GBILD84/85,2025-08-19,Buy,1172.2
NIFRAGED,2025-08-19,Buy,994.5
AHL,2025-08-19,Buy,650.68
MCHL,2025-08-19,Buy,543.52
MEN,2025-08-19,Buy,639.91
NBLD82,2025-08-19,Sell,1072.0
HDL,2025-08-19,Buy,1394.92
MHNL,2025-08-19,Buy,271.84
ICFCD88,2025-08-19,Buy,1084.0
BOKD86,2025-08-18,Sell,1030.1
ULHC,2025-08-18,Buy,518.44
RBBD2088,2025-08-18,Buy,990.5
NHDL,2025-08-18,Buy,733.08
CKHL,2025-08-18,Buy,685.62
SPC,2025-08-18,Buy,552.93
TAMOR,2025-08-18,Buy,518.68
LEC,2025-08-18,Buy,242.09
DOLTI,2025-08-18,Buy,603.56
NUBL,2025-08-18,Buy,789.79
JBBD87,2025-08-18,Buy,1062.0
EBLD85,2025-08-18,Buy,1142.0
KPCL,2025-08-18,Buy,623.73
KMCDB,2025-08-18,Sell,1079.03
EBLEB89,2025-08-18,Sell,1004.5
JBLB,2025-08-18,Buy,1468.63
MMKJL,2025-08-18,Buy,598.56
UNHPL,2025-08-18,Buy,408.35
SMPDA,2025-08-17,Sell,989.84
IHL,2025-08-17,Buy,579.24
UMRH,2025-08-17,Buy,639.01
UHEWA,2025-08-17,Buy,613.45
EBLD86,2025-08-17,Sell,1031.0
ULBSL,2025-08-17,Buy,3631.31
USHL,2025-08-17,Buy,735.15
PBLD87,2025-08-17,Buy,1050.0
HBLD86,2025-08-17,Sell,1116.2
EBL,2025-08-17,Buy,719.87
GBBD85,2025-08-17,Sell,1037.0
MNBBL,2025-08-17,Buy,457.44
TTL,2025-08-17,Sell,883.45
MEHL,2025-08-14,Buy,456.09
UNL,2025-08-14,Buy,47900.0
EBLD85,2025-08-14,Sell,1115.0
SBLD84,2025-08-14,Sell,1040.0
EBLD86,2025-08-14,Buy,1050.6
EBLD91,2025-08-14,Sell,1000.0
NBLD85,2025-08-14,Buy,1035.3
WNLB,2025-08-14,Sell,2198.26
SANVI,2025-08-13,Sell,713.54
SBD87,2025-08-13,Buy,1050.6
ULBSL,2025-08-13,Sell,3530.13
ICFCD88,2025-08-13,Sell,1063.75
KBLD86,2025-08-13,Sell,1117.0
MKHC,2025-08-13,Buy,461.13
SIKLES,2025-08-13,Sell,957.96
EBLEB89,2025-08-13,Buy,1025.0
SAHAS,2025-08-13,Sell,657.84
EBLD91,2025-08-13,Buy,1019.9
SMFBS,2025-08-13,Sell,1840.25
NRM,2025-08-13,Buy,492.15
NIFRAUR85/86,2025-08-13,Sell,990.0
GBBD85,2025-08-13,Buy,1053.0
NABILD87,2025-08-13,Buy,1075.0
EBLD85,2025-08-12,Buy,1132.2
MAKAR,2025-08-12,Sell,622.36
ICFCD88,2025-08-12,Buy,1075.0
CITY,2025-08-12,Sell,636.2
UNLB,2025-08-12,Sell,2297.85
BNL,2025-08-12,Sell,16711.0
GLBSL,2025-08-12,Sell,2270.35
NADEP,2025-08-12,Sell,893.96
SMB,2025-08-12,Sell,2354.93
GILB,2025-08-12,Sell,1343.15
LEC,2025-08-12,Sell,229.55
SHLB,2025-08-12,Sell,1972.51
CYCL,2025-08-12,Sell,1778.17
GWFD83,2025-08-12,Buy,1224.99
NESDO,2025-08-12,Sell,1725.22
GSY,2025-08-12,Sell,9.41
HBLD86,2025-08-12,Buy,1138.96
SHIVM,2025-08-12,Sell,632.79
DLBS,2025-08-12,Sell,1524.24
MFIL,2025-08-12,Sell,690.33
ICFC,2025-08-12,Sell,669.1
BOKD86KA,2025-08-12,Buy,1151.05
MEHL,2025-08-12,Sell,447.62
NIFRAGED,2025-08-12,Sell,965.3
NIBD84,2025-08-12,Buy,1040.0
HLBSL,2025-08-12,Sell,1023.59
NICD83/84,2025-08-12,Sell,1112.64
EBLD91,2025-08-11,Sell,1006.0
ADBL,2025-08-11,Buy,334.44
SMPDA,2025-08-11,Buy,1036.69
MAKAR,2025-08-11,Buy,638.5
VLBS,2025-08-11,Sell,896.94
GMFBS,2025-08-11,Sell,1645.1
SLBSL,2025-08-11,Sell,1523.63
BHDC,2025-08-11,Sell,588.41
LLBS,2025-08-11,Sell,1155.82
