Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
ACLBSL,2026-03-22,1017.0,1095.0,996.7,1068.0,5.01,13491.0,1240.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBL,2026-03-22,326.0,335.0,326.0,330.0,1.23,188185.0,344.9,272.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBLD83,2026-03-22,1046.1,1046.1,1046.1,1046.1,0.0,25.0,1160.0,1042.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHL,2026-03-22,535.0,539.0,524.3,529.0,-1.12,21982.0,765.8,462.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHPC,2026-03-22,312.7,316.0,306.2,312.5,-0.06,831577.0,334.0,242.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKJCL,2026-03-22,417.9,420.0,404.9,409.0,-2.13,1720824.0,431.8,172.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKPL,2026-03-22,315.0,315.0,300.1,305.1,-3.14,1073297.0,317.0,216.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBSL,2026-03-22,1136.8,1198.0,1136.8,1190.0,4.68,54012.0,1250.0,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALICL,2026-03-22,486.0,505.0,484.0,499.0,2.67,172859.0,779.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANLB,2026-03-22,6500.0,6624.0,6370.0,6580.0,1.23,314.0,6800.0,4920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,2026-03-22,348.0,351.2,339.2,343.5,-1.29,1005619.0,355.0,258.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVYAN,2026-03-22,1119.0,1207.8,1098.0,1207.8,7.94,57648.0,1225.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDIPUR,2026-03-22,943.0,973.9,943.0,959.0,1.7,121031.0,1233.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,2026-03-22,400.0,400.0,383.0,390.0,-2.5,370739.0,589.0,292.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,2026-03-22,4870.0,4900.0,4851.1,4851.1,-0.39,594.0,6661.6,4480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,2026-03-22,533.5,544.0,525.0,537.4,0.73,29570.0,872.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,2026-03-22,505.0,519.0,501.0,518.8,2.73,76231.0,594.9,411.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGWT,2026-03-22,777.9,783.0,767.0,767.0,-1.4,9100.0,1110.0,730.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHCL,2026-03-22,592.5,595.0,585.0,588.0,-0.76,55472.0,699.0,292.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHDC,2026-03-22,515.0,515.0,502.1,507.0,-1.55,69186.0,706.0,426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHL,2026-03-22,260.0,260.0,249.0,254.0,-2.31,1621398.0,344.0,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHPL,2026-03-22,619.1,619.1,592.1,604.0,-2.44,86460.0,1308.4,503.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJHL,2026-03-22,270.1,297.1,270.1,297.1,10.0,80.0,297.1,270.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNHC,2026-03-22,384.5,384.5,372.0,372.2,-3.2,54080.0,613.8,313.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNL,2026-03-22,15500.0,15500.0,15500.0,15500.0,0.0,10.0,20338.4,14635.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNT,2026-03-22,11900.0,12000.0,11900.0,12000.0,0.84,141.0,13550.0,10660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPCL,2026-03-22,767.0,767.0,742.0,749.9,-2.23,64906.0,1065.0,380.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNGAL,2026-03-22,656.9,657.9,645.0,650.0,-1.05,28819.0,822.0,302.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30MF,2026-03-22,10.05,10.3,10.05,10.21,1.59,23500.0,10.71,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBBL,2026-03-22,948.0,972.0,940.0,969.0,2.22,102139.0,1144.8,821.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBLD88,2026-03-22,1185.0,1221.9,1185.0,1221.9,3.11,380.0,1265.0,1108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCBD88,2026-03-22,1248.0,1248.0,1248.0,1248.0,0.0,181.0,1281.0,1115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFCL,2026-03-22,573.0,584.0,570.0,573.0,0.0,49092.0,651.0,445.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGH,2026-03-22,862.2,901.0,862.2,901.0,4.5,60469.0,1150.0,800.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHCL,2026-03-22,517.0,517.0,507.3,508.0,-1.74,135827.0,599.6,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHDC,2026-03-22,2580.0,2580.0,2515.0,2530.0,-1.94,32428.0,2997.9,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,2026-03-22,332.5,332.5,317.0,320.0,-3.76,197362.0,551.0,223.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIT,2026-03-22,1826.0,1864.0,1826.0,1856.1,1.65,22089.0,2168.0,1730.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITY,2026-03-22,514.0,524.2,505.0,519.0,0.97,33732.0,998.4,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIZBD86,2026-03-22,1139.5,1160.0,1139.5,1160.0,1.8,69.0,1320.9,1096.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIZBD90,2026-03-22,1198.0,1270.0,1198.0,1270.0,6.01,361.0,1303.0,1115.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKHL,2026-03-22,730.5,744.0,701.8,730.0,-0.07,11665.0,804.0,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLI,2026-03-22,495.0,502.4,488.0,502.0,1.41,73644.0,540.0,411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMF2,2026-03-22,10.1,10.42,10.1,10.31,2.08,12414.0,10.86,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORBL,2026-03-22,2000.1,2156.9,1930.7,2156.9,7.84,44644.0,2800.0,1431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREST,2026-03-22,1425.0,1440.0,1416.0,1418.5,-0.46,25999.0,2458.2,302.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSY,2026-03-22,9.29,9.79,9.17,9.79,5.38,210730.0,10.0,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYCL,2026-03-22,1637.0,1650.0,1606.5,1649.0,0.73,7476.0,2040.0,1462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZBIL,2026-03-22,230.0,238.6,228.0,235.0,2.17,399699.0,240.1,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDBL,2026-03-22,885.0,915.0,885.0,914.9,3.38,70242.0,1010.0,759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHEL,2026-03-22,705.1,716.0,701.0,707.0,0.27,41639.0,918.9,402.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHPL,2026-03-22,344.0,345.0,323.0,332.0,-3.49,35600.0,423.0,265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLBS,2026-03-22,1379.0,1417.8,1357.0,1405.0,1.89,2845.0,1684.0,1240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLTI,2026-03-22,529.0,529.0,514.1,519.0,-1.89,12608.0,737.5,470.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DORDI,2026-03-22,319.5,320.0,310.0,314.0,-1.72,384596.0,450.0,213.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBL,2026-03-22,718.0,719.9,714.0,717.8,-0.03,84538.0,780.6,594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBLD85,2026-03-22,1170.0,1170.0,1170.0,1170.0,0.0,50.0,1250.0,1102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBLD86,2026-03-22,1100.0,1100.0,1100.0,1100.0,0.0,55.0,1150.0,1010.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBLD91,2026-03-22,1116.0,1116.0,1116.0,1116.0,0.0,200.0,1142.4,994.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBLEB89,2026-03-22,1080.0,1080.0,1080.0,1080.0,0.0,25.0,1117.9,996.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDBL,2026-03-22,634.9,639.0,624.7,632.0,-0.46,64090.0,717.3,545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
