Symbol,Date,Signal,Close
MNBBL,2025-08-21,Sell,445.17
BHPL,2025-08-21,Sell,785.71
ADBL,2025-08-21,Sell,329.26
UMRH,2025-08-21,Sell,622.19
NIFRAGED,2025-08-21,Sell,974.8
ULBSL,2025-08-21,Sell,3574.3
SPIL,2025-08-21,Buy,824.06
MCHL,2025-08-21,Sell,531.25
UHEWA,2025-08-21,Sell,596.81
BOKD86,2025-08-21,Buy,1052.0
TSHL,2025-08-21,Buy,838.39
TRH,2025-08-21,Buy,956.83
RHPL,2025-08-21,Buy,321.43
MKHC,2025-08-21,Sell,445.94
NBLD82,2025-08-21,Sell,1046.7
PMHPL,2025-08-21,Sell,396.08
SLBSL,2025-08-21,Buy,1573.13
MMKJL,2025-08-21,Sell,581.74
MND84/85,2025-08-21,Buy,1080.0
TAMOR,2025-08-21,Sell,509.67
MSLB,2025-08-21,Sell,1527.69
UNL,2025-08-21,Sell,47200.0
UNHPL,2025-08-21,Sell,387.1
GBILD86/87,2025-08-21,Buy,1050.0
MSHL,2025-08-21,Buy,899.34
MEHL,2025-08-20,Sell,451.62
GBBD85,2025-08-20,Buy,1052.33
LSL,2025-08-20,Buy,236.7
HATHY,2025-08-20,Buy,1247.09
SAND2085,2025-08-20,Sell,1100.0
UMHL,2025-08-20,Sell,570.79
CGH,2025-08-20,Buy,1054.3
NYADI,2025-08-20,Buy,437.87
AHPC,2025-08-20,Sell,296.1
SANVI,2025-08-20,Buy,722.74
SBLD84,2025-08-20,Buy,1077.0
MBLEF,2025-08-20,Buy,9.31
NBLD82,2025-08-20,Buy,1089.0
ALBSL,2025-08-20,Sell,984.55
CKHL,2025-08-20,Sell,667.29
SHL,2025-08-20,Buy,571.9
NABILD87,2025-08-20,Sell,1055.0
CIZBD90,2025-08-20,Sell,1146.6
KPCL,2025-08-20,Sell,598.83
RURU,2025-08-20,Sell,742.18
RBBD83,2025-08-20,Buy,1065.0
SPC,2025-08-20,Sell,534.49
BNHC,2025-08-20,Sell,527.92
BNHC,2025-08-19,Buy,532.58
SMH,2025-08-19,Buy,878.45
HDL,2025-08-19,Buy,1394.92
MCHL,2025-08-19,Buy,543.52
PURE,2025-08-19,Buy,925.61
SBID89,2025-08-19,Sell,1070.3
NBLD82,2025-08-19,Sell,1072.0
AHL,2025-08-19,Buy,650.68
GBILD84/85,2025-08-19,Buy,1172.2
NIFRAGED,2025-08-19,Buy,994.5
MEN,2025-08-19,Buy,639.91
