Symbol,Date,Signal,Close
KBL,2025-12-21,Sell,178.4
SANIMA,2025-12-21,Sell,309.0
LICN,2025-12-21,Sell,890.7
SHPC,2025-12-21,Sell,523.9
SHL,2025-12-21,Sell,486.0
LEC,2025-12-21,Sell,194.0
GRDBL,2025-12-21,Sell,1102.0
NLIC,2025-12-21,Sell,817.5
GUFL,2025-12-21,Sell,495.0
CHCL,2025-12-21,Sell,490.9
AKJCL,2025-12-21,Buy,186.9
AKPL,2025-12-21,Sell,241.0
UMHL,2025-12-21,Sell,567.0
SBI,2025-12-21,Sell,389.0
JBBL,2025-12-21,Sell,316.1
GBBL,2025-12-21,Sell,376.7
GRDBL,2025-12-18,Buy,1180.0
MBL,2025-12-18,Buy,218.6
AHPC,2025-12-18,Sell,278.6
ALICL,2025-12-18,Sell,464.8
NLICL,2025-12-18,Sell,607.0
PROFL,2025-12-18,Sell,454.0
RADHI,2025-12-18,Buy,748.0
MHNL,2025-12-18,Sell,246.7
PFL,2025-12-18,Sell,371.0
NICA,2025-12-18,Sell,317.0
SAPDBL,2025-12-18,Buy,850.0
LEC,2025-12-18,Buy,195.0
KSBBL,2025-12-18,Sell,430.0
SINDU,2025-12-18,Buy,798.0
GFCL,2025-12-18,Sell,581.2
GMFIL,2025-12-18,Sell,465.0
KPCL,2025-12-18,Sell,543.3
PROFL,2025-12-17,Buy,465.0
ALICL,2025-12-17,Buy,469.5
KPCL,2025-12-17,Buy,550.0
AHPC,2025-12-17,Buy,281.5
SPC,2025-12-17,Buy,506.0
SANIMA,2025-12-17,Buy,313.0
GUFL,2025-12-17,Buy,508.9
UNHPL,2025-12-17,Buy,504.9
PFL,2025-12-17,Buy,377.0
GBBL,2025-12-17,Buy,382.0
UMHL,2025-12-17,Buy,569.9
MDB,2025-12-17,Buy,577.0
BPCL,2025-12-17,Buy,719.3
NLIC,2025-12-17,Buy,835.0
LBBL,2025-12-16,Buy,471.9
NLICL,2025-12-16,Buy,615.9
GFCL,2025-12-16,Buy,592.5
TRH,2025-12-16,Buy,709.0
API,2025-12-16,Buy,288.4
AKPL,2025-12-16,Buy,245.0
CHCL,2025-12-16,Buy,495.0
KSBBL,2025-12-16,Buy,433.2
MNBBL,2025-12-16,Buy,351.6
KBL,2025-12-16,Buy,183.0
CGH,2025-12-16,Buy,905.0
MBL,2025-12-16,Sell,215.1
MPFL,2025-12-16,Buy,563.0
SHPC,2025-12-16,Buy,529.6
MLBL,2025-12-16,Buy,384.9
SHL,2025-12-16,Buy,495.0
JBBL,2025-12-16,Buy,326.0
NMB,2025-12-16,Buy,252.1
NICA,2025-12-15,Buy,328.0
MBL,2025-12-15,Buy,218.0
UMHL,2025-12-15,Sell,567.0
NHDL,2025-12-15,Buy,704.9
MHNL,2025-12-15,Buy,249.9
GBIME,2025-12-15,Buy,226.7
PCBL,2025-12-15,Buy,249.0
CGH,2025-12-14,Sell,871.1
SIFC,2025-12-14,Sell,490.0
UPCL,2025-12-14,Sell,366.5
SJCL,2025-12-14,Sell,288.0
SINDU,2025-12-14,Sell,715.0
NGPL,2025-12-14,Sell,394.2
RHPL,2025-12-14,Sell,273.1
SBI,2025-12-14,Buy,401.0
EBL,2025-12-14,Buy,645.1
GRDBL,2025-12-11,Sell,1139.0
LEC,2025-12-11,Sell,194.1
UMRH,2025-12-11,Sell,563.0
NHDL,2025-12-11,Sell,691.0
CORBL,2025-12-11,Sell,1673.0
BFC,2025-12-11,Sell,468.0
SHPC,2025-12-10,Sell,523.2
PPCL,2025-12-10,Buy,340.0
UMRH,2025-12-10,Buy,570.0
SPC,2025-12-10,Sell,485.0
RLFL,2025-12-10,Sell,428.0
NHDL,2025-12-10,Buy,699.0
MPFL,2025-12-10,Sell,547.5
GFCL,2025-12-10,Sell,580.0
NMB,2025-12-09,Sell,247.3
CGH,2025-12-09,Buy,885.0
CORBL,2025-12-09,Buy,1732.9
LICN,2025-12-08,Buy,913.1
UPCL,2025-12-08,Buy,374.4
PROFL,2025-12-08,Sell,460.0
CZBIL,2025-12-08,Sell,192.9
TPC,2025-12-08,Buy,349.0
SADBL,2025-12-08,Sell,405.8
CFCL,2025-12-08,Sell,482.2
MBL,2025-12-08,Sell,215.7
UMRH,2025-12-08,Sell,562.5
SBI,2025-12-08,Sell,394.8
LEC,2025-12-08,Buy,197.0
SANIMA,2025-12-08,Sell,310.0
SFCL,2025-12-08,Sell,393.4
