Symbol,Date,Signal,Close
GBBD85,2025-08-25,Sell,1041.0
PCBL,2025-08-25,Buy,257.76
PBD85,2025-08-25,Buy,1070.0
ENL,2025-08-25,Buy,1078.52
NIBD84,2025-08-25,Sell,1033.0
MSLB,2025-08-25,Buy,1559.07
NHDL,2025-08-25,Sell,707.99
MHNL,2025-08-25,Buy,271.87
SNLI,2025-08-25,Buy,474.22
SPL,2025-08-25,Buy,944.87
UNL,2025-08-25,Buy,47500.0
SKBBL,2025-08-25,Buy,932.44
MLBBL,2025-08-25,Buy,1577.01
TSHL,2025-08-24,Sell,811.83
PBLD87,2025-08-24,Sell,1042.0
NIFRAGED,2025-08-24,Buy,999.6
NYADI,2025-08-24,Sell,426.82
DOLTI,2025-08-24,Sell,580.2
GWFD83,2025-08-24,Sell,1195.6
NIFRAUR85/86,2025-08-24,Buy,1009.8
DHPL,2025-08-24,Sell,311.74
RHPL,2025-08-24,Sell,309.22
MHNL,2025-08-24,Sell,266.27
SANVI,2025-08-24,Sell,700.6
IHL,2025-08-24,Sell,569.3
KBLPO,2025-08-24,Sell,109.0
LSL,2025-08-24,Sell,233.3
EBLD86,2025-08-24,Buy,1050.0
NMBD87/88,2025-08-24,Sell,1055.0
AHL,2025-08-24,Sell,633.61
MBLEF,2025-08-24,Sell,8.92
ULHC,2025-08-24,Sell,484.25
CBBL,2025-08-24,Buy,1060.93
PBLD86,2025-08-24,Buy,1141.5
MEN,2025-08-24,Sell,627.65
SHL,2025-08-24,Sell,558.48
SPIL,2025-08-21,Buy,824.06
SLBSL,2025-08-21,Buy,1573.13
BOKD86,2025-08-21,Buy,1052.0
MCHL,2025-08-21,Sell,531.25
GBILD86/87,2025-08-21,Buy,1050.0
PMHPL,2025-08-21,Sell,396.08
BHPL,2025-08-21,Sell,785.71
RHPL,2025-08-21,Buy,321.43
UNHPL,2025-08-21,Sell,387.1
MSLB,2025-08-21,Sell,1527.69
TAMOR,2025-08-21,Sell,509.67
MKHC,2025-08-21,Sell,445.94
MMKJL,2025-08-21,Sell,581.74
UMRH,2025-08-21,Sell,622.19
MNBBL,2025-08-21,Sell,445.17
MSHL,2025-08-21,Buy,899.34
MND84/85,2025-08-21,Buy,1080.0
UHEWA,2025-08-21,Sell,596.81
NIFRAGED,2025-08-21,Sell,974.8
ULBSL,2025-08-21,Sell,3574.3
TSHL,2025-08-21,Buy,838.39
UNL,2025-08-21,Sell,47200.0
ADBL,2025-08-21,Sell,329.26
TRH,2025-08-21,Buy,956.83
NBLD82,2025-08-21,Sell,1046.7
NYADI,2025-08-20,Buy,437.87
MEHL,2025-08-20,Sell,451.62
NBLD82,2025-08-20,Buy,1089.0
CGH,2025-08-20,Buy,1054.3
AHPC,2025-08-20,Sell,296.1
SPC,2025-08-20,Sell,534.49
RBBD83,2025-08-20,Buy,1065.0
LSL,2025-08-20,Buy,236.7
CIZBD90,2025-08-20,Sell,1146.6
KPCL,2025-08-20,Sell,598.83
RURU,2025-08-20,Sell,742.18
SAND2085,2025-08-20,Sell,1100.0
SHL,2025-08-20,Buy,571.9
NABILD87,2025-08-20,Sell,1055.0
CKHL,2025-08-20,Sell,667.29
GBBD85,2025-08-20,Buy,1052.33
UMHL,2025-08-20,Sell,570.79
ALBSL,2025-08-20,Sell,984.55
SBLD84,2025-08-20,Buy,1077.0
BNHC,2025-08-20,Sell,527.92
MBLEF,2025-08-20,Buy,9.31
HATHY,2025-08-20,Buy,1247.09
SANVI,2025-08-20,Buy,722.74
MEN,2025-08-19,Buy,639.91
ICFCD88,2025-08-19,Buy,1084.0
PURE,2025-08-19,Buy,925.61
RURU,2025-08-19,Buy,754.55
HDL,2025-08-19,Buy,1394.92
BNHC,2025-08-19,Buy,532.58
BHPL,2025-08-19,Buy,810.37
NBLD82,2025-08-19,Sell,1072.0
MCHL,2025-08-19,Buy,543.52
AHPC,2025-08-19,Buy,300.16
MHNL,2025-08-19,Buy,271.84
DHPL,2025-08-19,Buy,319.85
GBILD84/85,2025-08-19,Buy,1172.2
SMH,2025-08-19,Buy,878.45
SBID89,2025-08-19,Sell,1070.3
NIFRAGED,2025-08-19,Buy,994.5
AHL,2025-08-19,Buy,650.68
TAMOR,2025-08-18,Buy,518.68
CKHL,2025-08-18,Buy,685.62
JBLB,2025-08-18,Buy,1468.63
EBLD85,2025-08-18,Buy,1142.0
NHDL,2025-08-18,Buy,733.08
