Symbol,Date,Signal,Close
PRIN,2025-08-27,Buy,783.98
MEL,2025-08-27,Buy,305.18
IGI,2025-08-27,Buy,537.86
API,2025-08-27,Buy,298.89
PMLI,2025-08-27,Buy,514.63
HLI,2025-08-27,Buy,415.15
PPCL,2025-08-27,Buy,345.09
HLBSL,2025-08-27,Buy,1010.31
SPIL,2025-08-27,Buy,820.21
HIDCL,2025-08-27,Buy,294.41
HEI,2025-08-27,Buy,589.13
ULBSL,2025-08-27,Buy,3622.98
MEN,2025-08-27,Buy,637.61
MERO,2025-08-27,Buy,856.82
RBCLPO,2025-08-27,Buy,12905.0
MBLEF,2025-08-27,Buy,9.25
UHEWA,2025-08-27,Buy,606.15
GVL,2025-08-27,Buy,581.47
RNLI,2025-08-27,Buy,489.23
OMPL,2025-08-27,Buy,1370.79
UNHPL,2025-08-27,Buy,403.69
RSDC,2025-08-27,Buy,708.62
ANLB,2025-08-27,Sell,5777.51
MBL,2025-08-27,Buy,252.18
NGPL,2025-08-27,Buy,411.6
NIBD84,2025-08-27,Buy,1040.0
NICL,2025-08-27,Buy,617.7
NIFRA,2025-08-27,Buy,288.0
AKPL,2025-08-27,Buy,268.64
LBBL,2025-08-27,Buy,577.1
NIL,2025-08-27,Buy,711.0
KSBBL,2025-08-27,Buy,546.57
MDB,2025-08-27,Buy,640.57
KMCDB,2025-08-27,Buy,1097.92
NLIC,2025-08-27,Buy,793.03
NLICL,2025-08-27,Buy,615.65
NMB,2025-08-27,Buy,253.27
NMBHF2,2025-08-27,Buy,9.02
NWCL,2025-08-27,Buy,909.1
JBBL,2025-08-27,Buy,347.68
MFIL,2025-08-27,Buy,698.26
BBC,2025-08-27,Buy,5463.75
SADBL,2025-08-27,Buy,448.75
SHIVM,2025-08-27,Buy,634.8
SHL,2025-08-27,Buy,571.15
SAHAS,2025-08-27,Buy,660.54
SHPC,2025-08-27,Buy,576.3
EDBL,2025-08-27,Buy,646.66
EBLD91,2025-08-27,Buy,1010.0
SIFC,2025-08-27,Buy,523.84
SJLIC,2025-08-27,Buy,444.39
DHPL,2025-08-27,Buy,318.84
DDBL,2025-08-27,Buy,913.26
MLBL,2025-08-27,Buy,409.21
SLBSL,2025-08-27,Sell,1523.75
CYCL,2025-08-27,Sell,1781.17
SRLI,2025-08-27,Buy,407.63
CKHL,2025-08-27,Buy,684.31
CHDC,2025-08-27,Buy,2640.4
SONA,2025-08-27,Buy,464.45
SPDL,2025-08-27,Buy,412.37
ENL,2025-08-27,Buy,1069.3
MKCL,2025-08-27,Buy,1658.23
AHPC,2025-08-27,Buy,298.47
GCIL,2025-08-27,Buy,503.93
GBIME,2025-08-27,Buy,255.29
TAMOR,2025-08-27,Buy,517.35
MNBBL,2025-08-27,Buy,460.75
SANIMA,2025-08-27,Buy,371.23
GBBL,2025-08-27,Buy,439.68
SGIC,2025-08-27,Buy,576.64
SBL,2025-08-27,Buy,371.47
SHEL,2025-08-27,Buy,317.24
SHINE,2025-08-27,Buy,441.54
GLH,2025-08-27,Buy,272.28
FMDBL,2025-08-27,Buy,897.97
GMFBS,2025-08-27,Buy,1639.93
GMLI,2025-08-27,Buy,2163.69
LSL,2025-08-26,Buy,235.56
MBJC,2025-08-26,Buy,315.7
CYCL,2025-08-26,Buy,1837.23
LBLD88,2025-08-26,Sell,1040.0
NICD88,2025-08-26,Buy,1059.9
PBLD87,2025-08-26,Buy,1085.0
RBCL,2025-08-26,Buy,15574.5
STC,2025-08-26,Buy,5277.25
SDBD87,2025-08-26,Buy,1077.5
GBBD85,2025-08-26,Buy,1055.0
ALICL,2025-08-26,Buy,491.03
OHL,2025-08-26,Buy,871.88
HRL,2025-08-26,Buy,1010.98
ENL,2025-08-26,Sell,1061.0
ICFC,2025-08-26,Buy,676.65
ALBSL,2025-08-26,Buy,988.79
SPIL,2025-08-26,Sell,814.17
NABILD87,2025-08-26,Buy,1070.0
USLB,2025-08-26,Buy,2222.82
MNMF1,2025-08-26,Buy,9.28
NABIL,2025-08-26,Buy,529.35
MSLB,2025-08-25,Buy,1559.07
GBBD85,2025-08-25,Sell,1041.0
UNL,2025-08-25,Buy,47500.0
PBD85,2025-08-25,Buy,1070.0
MHNL,2025-08-25,Buy,271.87
ENL,2025-08-25,Buy,1078.52
NIBD84,2025-08-25,Sell,1033.0
SKBBL,2025-08-25,Buy,932.44
NHDL,2025-08-25,Sell,707.99
MLBBL,2025-08-25,Buy,1577.01
PCBL,2025-08-25,Buy,257.76
SPL,2025-08-25,Buy,944.87
SNLI,2025-08-25,Buy,474.22
