Symbol,Date,50 vs 20 EMA Cross
ILBS,2024-08-08,ILBS - 2024-08-08 00:00:00 - Bull Close: 1148.9
PPL,2024-07-22,PPL - 2024-07-22 00:00:00 - Bear Close: 523.9
JOSHI,2024-07-22,JOSHI - 2024-07-22 00:00:00 - Bear Close: 324.0
SNLI,2024-07-21,SNLI - 2024-07-21 00:00:00 - Bear Close: 543.1
HDL,2024-07-21,HDL - 2024-07-21 00:00:00 - Bear Close: 1519.0
SJLIC,2024-07-21,SJLIC - 2024-07-21 00:00:00 - Bear Close: 462.6
HRL,2024-07-18,HRL - 2024-07-18 00:00:00 - Bear Close: 610.0
RBCL,2024-07-17,RBCL - 2024-07-17 00:00:00 - Bear Close: 14160.0
HLI,2024-07-17,HLI - 2024-07-17 00:00:00 - Bear Close: 415.9
SHEL,2024-07-17,SHEL - 2024-07-17 00:00:00 - Bear Close: 207.4
SARBTM,2024-07-17,SARBTM - 2024-07-17 00:00:00 - Bear Close: 864.0
AKJCL,2024-07-17,AKJCL - 2024-07-17 00:00:00 - Bull Close: 179.0
AHPC,2024-07-17,AHPC - 2024-07-17 00:00:00 - Bear Close: 203.0
SHIVM,2024-07-17,SHIVM - 2024-07-17 00:00:00 - Bear Close: 535.9
BNT,2024-07-17,BNT - 2024-07-17 00:00:00 - Bear Close: 13900.0
NRIC,2024-07-17,NRIC - 2024-07-17 00:00:00 - Bear Close: 718.9
SAHAS,2024-07-16,SAHAS - 2024-07-16 00:00:00 - Bear Close: 538.8
UPCL,2024-07-16,UPCL - 2024-07-16 00:00:00 - Bear Close: 224.0
AKPL,2024-07-16,AKPL - 2024-07-16 00:00:00 - Bear Close: 202.5
PMHPL,2024-07-16,PMHPL - 2024-07-16 00:00:00 - Bear Close: 257.5
CHCL,2024-07-16,CHCL - 2024-07-16 00:00:00 - Bear Close: 498.0
RIDI,2024-07-16,RIDI - 2024-07-16 00:00:00 - Bear Close: 209.5
CHL,2024-07-16,CHL - 2024-07-16 00:00:00 - Bear Close: 337.5
MEL,2024-07-16,MEL - 2024-07-16 00:00:00 - Bear Close: 251.0
SJCL,2024-07-16,SJCL - 2024-07-16 00:00:00 - Bear Close: 299.3
SHPC,2024-07-16,SHPC - 2024-07-16 00:00:00 - Bear Close: 354.0
GUFL,2024-07-16,GUFL - 2024-07-16 00:00:00 - Bear Close: 742.9
SONA,2024-07-16,SONA - 2024-07-16 00:00:00 - Bear Close: 484.8
GCIL,2024-07-16,GCIL - 2024-07-16 00:00:00 - Bear Close: 522.0
MBJC,2024-07-16,MBJC - 2024-07-16 00:00:00 - Bear Close: 325.0
PPCL,2024-07-15,PPCL - 2024-07-15 00:00:00 - Bear Close: 253.9
SHL,2024-07-15,SHL - 2024-07-15 00:00:00 - Bear Close: 442.0
NLIC,2024-07-15,NLIC - 2024-07-15 00:00:00 - Bear Close: 619.0
NHPC,2024-07-15,NHPC - 2024-07-15 00:00:00 - Bear Close: 162.9
RHPL,2024-07-15,RHPL - 2024-07-15 00:00:00 - Bear Close: 295.0
HDHPC,2024-07-15,HDHPC - 2024-07-15 00:00:00 - Bear Close: 149.0
BPCL,2024-07-15,BPCL - 2024-07-15 00:00:00 - Bear Close: 310.0
LEC,2024-07-14,LEC - 2024-07-14 00:00:00 - Bear Close: 196.0
UMHL,2024-07-14,UMHL - 2024-07-14 00:00:00 - Bear Close: 258.0
API,2024-07-14,API - 2024-07-14 00:00:00 - Bear Close: 188.0
SKBBL,2024-07-14,SKBBL - 2024-07-14 00:00:00 - Bear Close: 856.0
GBIME,2024-07-14,GBIME - 2024-07-14 00:00:00 - Bear Close: 200.0
GLH,2024-07-14,GLH - 2024-07-14 00:00:00 - Bear Close: 221.0
GHL,2024-07-11,GHL - 2024-07-11 00:00:00 - Bear Close: 158.8
HIDCL,2024-07-11,HIDCL - 2024-07-11 00:00:00 - Bear Close: 172.0
MHNL,2024-07-11,MHNL - 2024-07-11 00:00:00 - Bear Close: 249.0
NLICL,2024-07-11,NLICL - 2024-07-11 00:00:00 - Bear Close: 581.0
NIMB,2024-07-11,NIMB - 2024-07-11 00:00:00 - Bear Close: 171.5
IGI,2024-07-11,IGI - 2024-07-11 00:00:00 - Bear Close: 556.9
HBL,2024-07-11,HBL - 2024-07-11 00:00:00 - Bear Close: 201.6
KKHC,2024-07-11,KKHC - 2024-07-11 00:00:00 - Bear Close: 236.0
SICL,2024-07-11,SICL - 2024-07-11 00:00:00 - Bear Close: 719.9
LIFEINSU,2024-07-10,LIFEINSU - 2024-07-10 00:00:00 - Bear Close: 10409.03
LSL,2024-07-10,LSL - 2024-07-10 00:00:00 - Bear Close: 165.0
NIFRA,2024-07-10,NIFRA - 2024-07-10 00:00:00 - Bear Close: 208.6
SRLI,2024-07-10,SRLI - 2024-07-10 00:00:00 - Bear Close: 455.0
SPDL,2024-07-10,SPDL - 2024-07-10 00:00:00 - Bear Close: 241.0
RNLI,2024-07-10,RNLI - 2024-07-10 00:00:00 - Bear Close: 455.3
GBBL,2024-07-09,GBBL - 2024-07-09 00:00:00 - Bear Close: 384.0
CBBL,2024-07-09,CBBL - 2024-07-09 00:00:00 - Bear Close: 870.0
MHNL,2024-07-09,MHNL - 2024-07-09 00:00:00 - Bull Close: 235.6
MNBBL,2024-07-09,MNBBL - 2024-07-09 00:00:00 - Bear Close: 358.4
ALICL,2024-07-09,ALICL - 2024-07-09 00:00:00 - Bear Close: 590.0
SPDL,2024-07-09,SPDL - 2024-07-09 00:00:00 - Bull Close: 240.0
KBL,2024-07-09,KBL - 2024-07-09 00:00:00 - Bear Close: 143.5
PMLI,2024-07-09,PMLI - 2024-07-09 00:00:00 - Bear Close: 538.0
JALPA,2024-07-09,JALPA - 2024-07-09 00:00:00 - Bear Close: 1440.0
JBLB,2024-07-08,JBLB - 2024-07-08 00:00:00 - Bear Close: 1434.0
MBL,2024-07-08,MBL - 2024-07-08 00:00:00 - Bear Close: 183.0
GUFL,2024-07-08,GUFL - 2024-07-08 00:00:00 - Bull Close: 697.0
NBL,2024-07-08,NBL - 2024-07-08 00:00:00 - Bear Close: 219.0
JBBL,2024-07-07,JBBL - 2024-07-07 00:00:00 - Bear Close: 314.0
JALPA,2024-07-07,JALPA - 2024-07-07 00:00:00 - Bull Close: 1304.0
PRIN,2024-07-04,PRIN - 2024-07-04 00:00:00 - Bear Close: 815.0
SHINE,2024-07-04,SHINE - 2024-07-04 00:00:00 - Bear Close: 404.0
CHL,2024-07-04,CHL - 2024-07-04 00:00:00 - Bull Close: 307.0
NONLIFEINSU,2024-07-04,NONLIFEINSU - 2024-07-04 00:00:00 - Bear Close: 10734.66
PRVU,2024-07-04,PRVU - 2024-07-04 00:00:00 - Bear Close: 147.0
LBBL,2024-07-04,LBBL - 2024-07-04 00:00:00 - Bear Close: 403.0
AKJCL,2024-07-04,AKJCL - 2024-07-04 00:00:00 - Bear Close: 227.7
MLBL,2024-07-04,MLBL - 2024-07-04 00:00:00 - Bear Close: 350.0
STC,2024-07-03,STC - 2024-07-03 00:00:00 - Bear Close: 4997.0
HURJA,2024-07-03,HURJA - 2024-07-03 00:00:00 - Bull Close: 269.0
USLB,2024-07-03,USLB - 2024-07-03 00:00:00 - Bull Close: 1768.0
