Symbol,Date,Signal,Close
GBIME,2025-12-24,Buy,228.0
MEN,2025-12-24,Sell,560.0
EBL,2025-12-24,Sell,647.3
NMB,2025-12-24,Sell,235.1
TRH,2025-12-24,Buy,708.0
RURU,2025-12-24,Sell,727.0
CZBIL,2025-12-24,Buy,191.5
NICA,2025-12-24,Buy,321.0
NHPC,2025-12-24,Buy,190.8
MBL,2025-12-24,Buy,220.0
MEN,2025-12-23,Buy,565.0
RADHI,2025-12-23,Sell,725.0
CHCL,2025-12-23,Buy,494.1
SANIMA,2025-12-23,Buy,312.0
RURU,2025-12-23,Buy,729.8
UNHPL,2025-12-23,Sell,489.0
AKPL,2025-12-23,Buy,245.6
MLBL,2025-12-22,Sell,359.0
LEC,2025-12-22,Buy,195.0
GBIME,2025-12-22,Sell,224.5
HPPL,2025-12-22,Buy,481.8
TRH,2025-12-22,Sell,699.0
NHDL,2025-12-22,Sell,674.0
MNBBL,2025-12-22,Sell,344.0
MDB,2025-12-22,Sell,563.5
SAPDBL,2025-12-22,Sell,805.0
SPDL,2025-12-22,Buy,416.8
AKJCL,2025-12-22,Sell,184.0
BPCL,2025-12-22,Sell,710.0
MBL,2025-12-22,Sell,215.0
SINDU,2025-12-22,Sell,707.2
CGH,2025-12-22,Sell,882.2
SBI,2025-12-21,Sell,389.0
AKJCL,2025-12-21,Buy,186.9
GBBL,2025-12-21,Sell,376.7
LEC,2025-12-21,Sell,194.0
GUFL,2025-12-21,Sell,495.0
NLIC,2025-12-21,Sell,817.5
LICN,2025-12-21,Sell,890.7
UMHL,2025-12-21,Sell,567.0
CHCL,2025-12-21,Sell,490.9
GRDBL,2025-12-21,Sell,1102.0
AKPL,2025-12-21,Sell,241.0
SANIMA,2025-12-21,Sell,309.0
JBBL,2025-12-21,Sell,316.1
SHL,2025-12-21,Sell,486.0
KBL,2025-12-21,Sell,178.4
SHPC,2025-12-21,Sell,523.9
SAPDBL,2025-12-18,Buy,850.0
MBL,2025-12-18,Buy,218.6
MHNL,2025-12-18,Sell,246.7
GRDBL,2025-12-18,Buy,1180.0
GMFIL,2025-12-18,Sell,465.0
KSBBL,2025-12-18,Sell,430.0
SINDU,2025-12-18,Buy,798.0
PFL,2025-12-18,Sell,371.0
PROFL,2025-12-18,Sell,454.0
KPCL,2025-12-18,Sell,543.3
GFCL,2025-12-18,Sell,581.2
LEC,2025-12-18,Buy,195.0
ALICL,2025-12-18,Sell,464.8
RADHI,2025-12-18,Buy,748.0
NLICL,2025-12-18,Sell,607.0
AHPC,2025-12-18,Sell,278.6
NICA,2025-12-18,Sell,317.0
KPCL,2025-12-17,Buy,550.0
PROFL,2025-12-17,Buy,465.0
PFL,2025-12-17,Buy,377.0
UMHL,2025-12-17,Buy,569.9
ALICL,2025-12-17,Buy,469.5
MDB,2025-12-17,Buy,577.0
SPC,2025-12-17,Buy,506.0
AHPC,2025-12-17,Buy,281.5
GUFL,2025-12-17,Buy,508.9
NLIC,2025-12-17,Buy,835.0
UNHPL,2025-12-17,Buy,504.9
BPCL,2025-12-17,Buy,719.3
GBBL,2025-12-17,Buy,382.0
SANIMA,2025-12-17,Buy,313.0
JBBL,2025-12-16,Buy,326.0
NLICL,2025-12-16,Buy,615.9
NMB,2025-12-16,Buy,252.1
MLBL,2025-12-16,Buy,384.9
API,2025-12-16,Buy,288.4
CHCL,2025-12-16,Buy,495.0
MPFL,2025-12-16,Buy,563.0
GFCL,2025-12-16,Buy,592.5
MNBBL,2025-12-16,Buy,351.6
KBL,2025-12-16,Buy,183.0
SHL,2025-12-16,Buy,495.0
TRH,2025-12-16,Buy,709.0
KSBBL,2025-12-16,Buy,433.2
LBBL,2025-12-16,Buy,471.9
AKPL,2025-12-16,Buy,245.0
CGH,2025-12-16,Buy,905.0
MBL,2025-12-16,Sell,215.1
SHPC,2025-12-16,Buy,529.6
MBL,2025-12-15,Buy,218.0
NHDL,2025-12-15,Buy,704.9
GBIME,2025-12-15,Buy,226.7
NICA,2025-12-15,Buy,328.0
PCBL,2025-12-15,Buy,249.0
MHNL,2025-12-15,Buy,249.9
UMHL,2025-12-15,Sell,567.0
EBL,2025-12-14,Buy,645.1
NGPL,2025-12-14,Sell,394.2
SJCL,2025-12-14,Sell,288.0
SINDU,2025-12-14,Sell,715.0
CGH,2025-12-14,Sell,871.1
UPCL,2025-12-14,Sell,366.5
SBI,2025-12-14,Buy,401.0
SIFC,2025-12-14,Sell,490.0
RHPL,2025-12-14,Sell,273.1
CORBL,2025-12-11,Sell,1673.0
UMRH,2025-12-11,Sell,563.0
NHDL,2025-12-11,Sell,691.0
GRDBL,2025-12-11,Sell,1139.0
BFC,2025-12-11,Sell,468.0
LEC,2025-12-11,Sell,194.1
MPFL,2025-12-10,Sell,547.5
RLFL,2025-12-10,Sell,428.0
PPCL,2025-12-10,Buy,340.0
UMRH,2025-12-10,Buy,570.0
GFCL,2025-12-10,Sell,580.0
SHPC,2025-12-10,Sell,523.2
SPC,2025-12-10,Sell,485.0
NHDL,2025-12-10,Buy,699.0
CORBL,2025-12-09,Buy,1732.9
NMB,2025-12-09,Sell,247.3
CGH,2025-12-09,Buy,885.0
TPC,2025-12-08,Buy,349.0
CGH,2025-12-08,Sell,870.0
CFCL,2025-12-08,Sell,482.2
PROFL,2025-12-08,Sell,460.0
CZBIL,2025-12-08,Sell,192.9
LEC,2025-12-08,Buy,197.0
UMRH,2025-12-08,Sell,562.5
SADBL,2025-12-08,Sell,405.8
LICN,2025-12-08,Buy,913.1
SBI,2025-12-08,Sell,394.8
SFCL,2025-12-08,Sell,393.4
UPCL,2025-12-08,Buy,374.4
MBL,2025-12-08,Sell,215.7
SANIMA,2025-12-08,Sell,310.0
ICFC,2025-12-07,Sell,630.0
KPCL,2025-12-07,Sell,548.1
NICA,2025-12-07,Sell,315.8
JBBL,2025-12-07,Sell,320.0
GUFL,2025-12-07,Sell,506.1
API,2025-12-07,Sell,285.1
HDHPC,2025-12-07,Sell,179.5
MDB,2025-12-07,Sell,564.0
DHPL,2025-12-07,Sell,297.0
NHDL,2025-12-07,Sell,690.3
CHDC,2025-12-07,Sell,2299.0
NABIL,2025-12-07,Sell,503.0
CHL,2025-12-03,Sell,266.9
TPC,2025-12-03,Sell,340.0
CHCL,2025-12-03,Sell,490.0
UPPER,2025-12-03,Sell,178.4
GUFL,2025-12-03,Buy,515.0
HBL,2025-12-03,Sell,190.6
KBL,2025-12-03,Sell,180.0
KSBBL,2025-12-03,Sell,433.1
RLFL,2025-12-03,Buy,441.0
PROFL,2025-12-03,Buy,474.5
NLIC,2025-12-03,Sell,829.0
HPPL,2025-12-03,Sell,478.2
AHPC,2025-12-03,Sell,281.5
HIDCL,2025-12-03,Sell,269.0
LICN,2025-12-03,Sell,891.1
TRH,2025-12-03,Sell,704.0
NBL,2025-12-03,Sell,240.3
MDB,2025-12-03,Buy,578.0
MEN,2025-12-03,Sell,554.5
ALICL,2025-12-03,Sell,465.0
SCB,2025-12-03,Sell,631.0
GBIME,2025-12-03,Sell,225.0
SFCL,2025-12-03,Buy,402.0
OHL,2025-12-03,Sell,702.0
SHEL,2025-12-03,Sell,289.0
PMHPL,2025-12-02,Sell,338.0
EBL,2025-12-02,Sell,643.0
CGH,2025-12-02,Buy,879.8
PCBL,2025-12-02,Sell,248.4
GBBL,2025-12-02,Sell,381.0
SHEL,2025-12-02,Buy,292.9
KPCL,2025-12-02,Buy,561.0
MLBL,2025-12-02,Sell,383.9
PRVU,2025-12-02,Sell,189.0
